"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",32,52,"1664 1695",4,0.031781448000000004,7
"g1",32,53,"1696 1727",6,0.033891065,8
"g1",32,54,"1728 1759",6,0.031747431,8
"g1",32,55,"1760 1791",6,0.029635522,13
"g1",32,56,"1792 1823",2,0.029637367,5
"g1",32,57,"1824 1855",4,0.029254324,5
"g1",32,58,"1856 1887",9,0.027119105,10
"g1",32,59,"1888 1919",7,0.02890275,-4
"g1",32,60,"1920 1951",4,0.031191664,9
"g1",32,61,"1952 1983",7,0.030013578,2
"g1",32,62,"1984 2015",3,0.030072455,7
"g1",32,63,"2016 2047",6,0.028646218999999997,4
"g1",32,64,"2048 2079",4,0.030375786000000002,11
"g1",32,65,"2080 2111",5,0.029821495,6
"g1",32,66,"2112 2143",7,0.033697748,7
"g1",32,67,"2144 2175",8,0.031286362,7
"g1",32,68,"2176 2207",4,0.03060928,1
"g1",32,69,"2208 2239",6,0.030041699,7
"g1",32,70,"2240 2271",3,0.034249753,10
"g1",32,71,"2272 2303",3,0.027529776,9
"g1",32,72,"2304 2335",7,0.031549303,8
"g1",32,73,"2336 2367",5,0.028539874,4
"g1",32,74,"2368 2399",4,0.032470894,13
"g1",32,75,"2400 2431",4,0.029751871000000003,-2
"g1",32,76,"2432 2463",6,0.029000298,9
"g1",32,77,"2464 2495",4,0.028700693000000003,9
"g1",32,78,"2496 2527",1,0.027187052,10
"g1",32,79,"2528 2559",4,0.031075136,4
"g1",32,80,"2560 2591",4,0.030327293999999998,1
"g1",32,81,"2592 2623",7,0.030830255,2
"g1",32,82,"2624 2655",4,0.030530363999999997,9
"g1",32,83,"2656 2687",6,0.029822053,6
"g1",32,84,"2688 2719",7,0.029935547,6
"g1",32,85,"2720 2751",2,0.028860021,8
"g1",32,86,"2752 2783",9,0.028689369,9
"g1",32,87,"2784 2815",3,0.031476569999999995,8
"g1",32,88,"2816 2847",4,0.028008875,7
"g1",32,89,"2848 2879",2,0.028388490000000002,11
"g1",32,90,"2880 2911",2,0.028149483,7
"g1",32,91,"2912 2943",2,0.031976219,8
"g1",32,92,"2944 2975",4,0.034009796,20
"g1",32,93,"2976 3007",6,0.030305098000000003,10
"g1",32,94,"3008 3039",5,0.02990962,9
"g1",32,95,"3040 3071",8,0.031089832,8
"g1",32,96,"3072 3103",4,0.029822348000000002,9
"g1",32,97,"3104 3135",7,0.028377608,0
"g1",32,98,"3136 3167",4,0.028389994,11
"g1",32,99,"3168 3199",2,0.029487425,9
"g1",32,100,"3200 3231",4,0.032672601,7
"g1",32,101,"3232 3263",6,0.031100031,8
"g1",32,102,"3264 3295",5,0.030706408,5
"g1",32,103,"3296 3327",7,0.032267562,9
"g1",32,104,"3328 3359","",""
"g1",32,105,"3360 3391",5,0.044694155,23
"g1",32,106,"3392 3423",8,0.03257984,27
"g1",32,107,"3424 3455",6,0.033876174,19
"g1",32,108,"3456 3487",2,0.030203137999999997,20
"g1",32,109,"3488 3519",4,0.031502274,20
"g1",32,110,"3520 3551",8,0.034808834,17
"g1",32,111,"3552 3583",5,0.031641498,11
"g1",32,112,"3584 3615",6,0.03097963,7
"g1",32,113,"3616 3647",4,0.031147724,10
"g1",32,114,"3648 3679",8,0.031476287,9
"g1",32,115,"3680 3711",4,0.03239269,9
"g1",32,116,"3712 3743",4,0.030073706000000002,6
"g1",32,117,"3744 3775",2,0.028976628,9
"g1",32,118,"3776 3807",4,0.030350993,24
"g1",32,119,"3808 3839",8,0.030034876000000002,6
"g1",32,120,"3840 3871",4,0.030896987,5
"g1",32,121,"3872 3903",7,0.032330827,7
"g1",32,122,"3904 3935",3,0.031231763,9
"g1",32,123,"3936 3967",3,0.031244059,8
"g1",32,124,"3968 3999",6,0.031335637,5
"g1",32,125,"4000 4031",7,0.032557815,0
"g1",32,126,"4032 4063",0,0.027181746,0
"g1",32,127,"4064 4095",1,0.030048129,13
