"grammar","algo","chunk_size","chunk_id","chunk_time"
"g1","SingleSourceAlgoOpt",32,2,0.012663841247558594
"g1","SingleSourceAlgoOpt",32,3,0.0021326541900634766
"g1","SingleSourceAlgoOpt",32,4,0.004590511322021484
"g1","SingleSourceAlgoOpt",32,5,0.004310131072998047
"g1","SingleSourceAlgoOpt",32,6,0.0028526782989501953
"g1","SingleSourceAlgoOpt",32,7,0.0035352706909179688
"g1","SingleSourceAlgoOpt",32,8,0.001550912857055664
"g1","SingleSourceAlgoOpt",32,9,0.00156402587890625
"g1","SingleSourceAlgoOpt",32,10,0.0027196407318115234
"g1","SingleSourceAlgoOpt",32,11,0.0030286312103271484
"g1","SingleSourceAlgoOpt",32,12,0.0019116401672363281
"g1","SingleSourceAlgoOpt",32,13,0.0015888214111328125
"g1","SingleSourceAlgoOpt",32,14,0.0024962425231933594
"g1","SingleSourceAlgoOpt",32,15,0.0017118453979492188
